Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,uSRAM (64x12),LSRAM (20K),Chip Globals,PLL
MSS/DDR_DQ1_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ20_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ21_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ22_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ23_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ24_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ25_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ26_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ27_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ28_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ29_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ2_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ30_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ31_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ3_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ4_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ5_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ6_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ7_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ8_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_DQ9_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_ODT0_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/DDR_RAM_RST_N_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO0_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO10_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO11_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO12_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO13_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO14_IN_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO15_IN_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO16_IN_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO17_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO18_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO19_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO1_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO20_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO21_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO22_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO23_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO24_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO25_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO26_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO2_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO30_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO34_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO35_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO36_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO37_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO3_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO4_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO5_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO6_IN_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO7_IN_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO8_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/MSSIO9_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS/Primitives,2,0,0,0,0,10,0,0,0,0
Primitives/Primitives,1,0,0,0,23,0,0,0,0,0
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/Primitives,23,32,0,0,0,0,0,0,0,0
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/Primitives,66,67,0,0,0,0,0,0,0,0
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/genblk18.fifo_corefifo_sync_scntr/Primitives,67,42,0,0,0,0,0,0,0,0
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/genblk19.u_corefifo_fwft/Primitives,95,131,0,0,0,0,0,0,0,0
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_data_fifo/genblk24.UI_ram_wrapper_1/L3_syncnonpipe/Primitives,64,66,72,72,0,0,0,2,0,0
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_len_fifo/Primitives,10,11,0,0,0,0,0,0,0,0
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_len_fifo/genblk18.fifo_corefifo_sync_scntr/Primitives,35,19,0,0,0,0,0,0,0,0
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_len_fifo/genblk19.u_corefifo_fwft/Primitives,23,19,0,0,0,0,0,0,0,0
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/ddr_rw_arbiter_0/v_wr_len_fifo/genblk24.UI_ram_wrapper_1/L3_syncnonpipe/pf_ram_pf_ram_0_0/Primitives,0,0,12,12,0,0,1,0,0,0
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/read_top_0/read_demux_1/Primitives,2,0,0,0,0,0,0,0,0,0
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/read_top_0/request_scheduler_0/Primitives,39,24,0,0,0,0,0,0,0,0
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/write_top_0/request_scheduler_0/Primitives,39,23,0,0,0,0,0,0,0,0
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/write_top_0/write_demux_0/Primitives,2,0,0,0,0,0,0,0,0,0
top_ddr_write_0/DDR_AXI4_ARBITER_PF_C0_0/DDR_AXI4_ARBITER_PF_C0_0/genblk1.DDR_AXI4_ARBITER_PF_0/write_top_0/write_mux_0/Primitives,0,41,0,0,0,0,0,0,0,0
top_ddr_write_0/DDR_Read_C0_0/DDR_Read_C0_0/genblk1.DDR_Read_Native_0/DDR_read_controller_0/Primitives,43,38,0,0,0,0,0,0,0,0
top_ddr_write_0/H264_DDR_WRITE_0/Primitives,1,0,0,0,0,0,0,0,0,0
top_ddr_write_0/H264_DDR_WRITE_0/data_packer_h264_0/Primitives,9,70,0,0,0,0,0,0,0,0
top_ddr_write_0/H264_DDR_WRITE_0/ddr_write_controller_enc_0/Primitives,97,75,0,0,0,0,0,0,0,0
top_ddr_write_0/H264_DDR_WRITE_0/video_fifo_0/Primitives,130,117,0,0,0,0,0,0,0,0
top_ddr_write_0/H264_DDR_WRITE_0/video_fifo_0/ram2port_inst/Primitives,0,0,468,468,0,0,0,13,0,0
top_ddr_write_0/jpeg_top_1/u_apb/Primitives,8,32,0,0,0,0,0,0,0,0
top_ddr_write_0/jpeg_top_1/u_fsm/Primitives,51,57,0,0,0,0,0,0,0,0
top_ddr_write_0/jpeg_top_1/u_jls/Primitives,697,332,0,0,0,0,0,0,0,0
