
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
.	.	.	.	.	.	. work_write_mux_write_mux_64_32_8_1_g_DATA_WIDTHg_ADDR_WIDTH, 41, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. write_demux, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	. DDR_Read_C0, 294, 241, 212, 0, 0, 2, 0, 0, 0
.	.	.	. DDR_Read_1960s_64s_8s_0s_0s_32s_0s_1s_8s, 294, 241, 212, 0, 0, 2, 0, 0, 0
.	.	.	.	. DDR_Read_Native_1960s_64s_8s_0s_1s_8s_490s_9s, 294, 241, 212, 0, 0, 2, 0, 0, 0
.	.	.	.	.	. DDR_read_controller_0s_0_1_2_3_256s, 77, 117, 48, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. data_unpacker_64s_8s_1s_8s_8s_1024s_13s_0, 136, 82, 142, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. video_fifo_ddr_read_9s_64s_511s_10s_256s, 81, 41, 22, 0, 0, 2, 0, 0, 0
.	.	.	.	.	.	. ram2port_ddr_read_9s_64s, 0, 0, 0, 0, 0, 2, 0, 0, 0
.	.	. DDR_WRITE_JPEG, 262, 96, 110, 0, 0, 13, 0, 0, 0
.	.	.	. ddr_write_controller_enc, 75, 40, 56, 0, 0, 0, 0, 0, 0
.	.	.	. work_data_packer_data_packer_16_64_1_g_IP_DWg_OP_DW, 70, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	. work_video_fifo_video_fifo_12_64_1280_1_g_VIDEO_FIFO_AWIDTHg_INPUT_VIDEO_DATA_BIT_WIDTHg_HALF_EMPTY_THRESHOLD, 117, 47, 54, 0, 0, 13, 0, 0, 0
.	.	.	.	. ram2PORT_work_video_fifo_video_fifo_0layer1, 0, 0, 0, 0, 0, 13, 0, 0, 0
.	.	. jpeg_top_8s, 1065, 3358, 997, 0, 2, 9, 18, 0, 0
.	.	.	. apb_wrapper, 48, 20, 14, 0, 0, 0, 0, 0, 0
.	.	.	. jls_encoder, 921, 3306, 868, 0, 1, 9, 18, 0, 0
.	.	.	. jpeg_control_fsm_8s_0_1_2_3, 96, 32, 115, 0, 1, 0, 0, 0, 0
